x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15
6,2;2,0;53,0;35,0;10,0;23,0;1172,0;803,0;673,0;434,0;282,0;68,0;0,1;3,2;4,8
8,5;4,0;82,0;13,0;1,0;36,0;575,0;321,0;365,0;243,0;166,0;78,0;1,2;1,3;4,9
5,4;3,0;41,0;54,0;2,0;14,0;2041,0;1108,0;700,0;466,0;642,0;30,0;0,6;0,7;6,0
9,3;0,0;68,0;21,0;11,0;32,0;1133,0;664,0;450,0;488,0;391,0;48,0;1,0;1,0;6,2
8,3;4,0;55,0;36,0;3,0;28,0;1733,0;717,0;837,0;598,0;300,0;8,0;5,3;1,3;7,4
7,0;4,0;68,0;24,0;3,0;2,0;770,0;380,0;462,0;570,0;200,0;10,0;1,6;1,4;7,8
5,4;8,0;61,0;25,0;6,0;20,0;945,0;486,0;460,0;203,0;257,0;4,0;2,2;1,0;7,8
5,0;2,0;52,0;43,0;3,0;18,0;1032,0;409,0;925,0;344,0;452,0;22,0;1,0;1,0;8,0
16,5;1,0;81,0;16,0;1,0;23,0;1584,0;660,0;898,0;607,0;607,0;42,0;2,9;1,3;8,6
7,9;4,0;52,0;42,0;2,0;18,0;1790,0;1030,0;730,0;800,0;630,0;24,0;1,8;1,2;8,8
7,0;4,0;67,0;24,0;5,0;9,0;1100,0;739,0;336,0;302,0;767,0;32,0;1,0;2,0;9,0
@;@;@;@;@;@;1058,0;529,0;529,0;397,0;198,0;180,0;2,3;0,8;9,5
7,8;3,0;50,0;37,0;10,0;22,0;1674,0;923,0;722,0;603,0;548,0;16,0;2,0;0,6;9,6
5,8;2,0;61,0;30,0;7,0;15,0;1079,0;644,0;435,0;331,0;296,0;4,0;1,3;0,5;10,4
8,0;3,0;58,0;38,0;1,0;8,0;2006,0;578,0;1064,0;700,0;760,0;85,0;2,8;1,0;10,4
7,0;3,0;68,0;20,0;9,0;10,0;630,0;420,0;294,0;378,0;308,0;18,0;2,2;1,3;12,3
8,7;3,0;70,0;20,0;6,0;3,0;444,0;284,0;153,0;187,0;83,0;16,0;0,3;2,1;12,8
9,8;1,0;68,0;23,0;8,0;16,0;1262,0;699,0;586,0;766,0;180,0;0,0;18,0;2,0;13,0
5,5;2,0;64,0;31,0;3,0;48,0;818,0;222,0;580,0;580,0;375,0;15,0;0,8;1,3;13,0
8,4;8,0;63,0;22,0;7,0;14,0;1016,0;647,0;407,0;370,0;407,0;20,0;0,9;1,7;13,6
@;6,0;56,0;35,0;3,0;6,0;1058,0;375,0;750,0;551,0;573,0;24,0;4,6;0,3;14,4
5,8;1,0;67,0;31,0;1,0;5,0;1151,0;575,0;647,0;414,0;557,0;100,0;1,7;1,5;14,4
6,5;3,0;58,0;35,0;4,0;6,0;1330,0;365,0;815,0;558,0;408,0;15,0;0,4;0,5;14,4
6,8;4,0;60,0;31,0;5,0;11,0;1096,0;632,0;190,0;464,0;632,0;15,0;1,0;1,0;16,0
10,5;3,0;43,0;45,0;9,0;3,0;2218,0;1249,0;972,0;660,0;590,0;188,0;2,0;1,1;16,0
7,5;1,0;55,0;40,0;4,0;4,0;2010,0;720,0;1380,0;690,0;930,0;0,0;2,4;2,2;16,2
4,7;3,0;66,0;28,0;3,0;10,0;842,0;526,0;408,0;250,0;118,0;22,0;4,3;0,4;18,4
4,6;2,0;64,0;30,0;4,0;5,0;800,0;442,0;414,0;289,0;262,0;50,0;2,1;2,3;18,6
5,4;2,0;66,0;28,0;4,0;10,0;578,0;441,0;960,0;537,0;275,0;26,0;1,7;1,5;19,6
7,1;4,0;66,0;29,0;1,0;9,0;1277,0;391,0;556,0;515,0;556,0;42,0;60,0;120,0;94,0
